Time,x(t),dx(t),ddx(t)
19.10955478,0.110041978,-0.023401253,-0.110041911
19.15957979,0.077895652,-0.020685319,-0.077895645
19.2096048,0.105595999,-0.033777123,-0.10559595
19.25962981,0.083843001,-0.03152153,-0.08384298
19.30965483,0.084089246,-0.036511445,-0.084089272
19.35967984,0.096701498,-0.047869843,-0.096701466
19.40970485,0.096237542,-0.053791674,-0.096237558
19.45972986,0.080275558,-0.050296444,-0.080275557
19.50975488,0.088046725,-0.061502968,-0.088046727
19.55977989,0.084197497,-0.065313902,-0.084197549
19.6098049,0.074141681,-0.06369937,-0.074141686
19.65982991,0.074260832,-0.070554671,-0.074260871
19.70985493,0.08404619,-0.088257852,-0.084046245
19.75987994,0.063975897,-0.074290771,-0.063975927
19.80990495,0.060394506,-0.077671461,-0.060394575
19.85992996,0.058732864,-0.083875747,-0.058732907
19.90995498,0.052678575,-0.083863351,-0.052678637
19.95997999,0.053220389,-0.094959256,-0.053220485
20.010005,0.051450239,-0.103634733,-0.05145031
20.06003002,0.039291174,-0.090207522,-0.039291261
20.11005503,0.032558666,-0.086300652,-0.032558737
20.16008004,0.036936992,-0.115019231,-0.036937095
20.21010505,0.026315378,-0.098640252,-0.026315487
20.26013007,0.017501181,-0.081835501,-0.017501256
20.31015508,0.01914325,-0.11812731,-0.019143376
20.36018009,0.012392576,-0.111556428,-0.012392695
20.4102051,0.007089137,-0.116821187,-0.007089263
20.46023012,0.001220882,-0.11534395,-0.001221017
20.51025513,-0.005029931,-0.127465342,0.005029785
20.56028014,-0.008078769,-0.09005911,0.00807866
20.61030515,-0.012910434,-0.091952991,0.012910323
20.66033017,-0.018068878,-0.094198176,0.018068757
20.71035518,-0.022688162,-0.092896707,0.022688044
20.76038019,-0.029159479,-0.097870332,0.029159347
20.8104052,-0.031957517,-0.090460359,0.031957391
20.86043022,-0.033759996,-0.08221997,0.033759891
20.91045523,-0.039182091,-0.083305585,0.039181964
20.96048024,-0.046053914,-0.086411763,0.04605379
21.01050525,-0.057772125,-0.096446126,0.057771978
21.06053027,-0.052875075,-0.07901898,0.052874944
21.11055528,-0.065103043,-0.087487528,0.06510292
21.16058029,-0.055714454,-0.0675374,0.05571433
21.2106053,-0.046252669,-0.050676431,0.046252583
21.26063032,-0.070694263,-0.070072425,0.070694149
21.31065533,-0.070528237,-0.063238446,0.070528107
21.36068034,-0.071472283,-0.057906978,0.071472187
21.41070535,-0.073324442,-0.053563716,0.073324322
21.46073037,-0.078368093,-0.051443009,0.07836798
21.51075538,-0.078407921,-0.046030714,0.07840785
21.56078039,-0.081422032,-0.042475208,0.081421913
21.6108054,-0.079208214,-0.036403832,0.079208134
21.66083042,-0.073712782,-0.029508582,0.073712696
21.71085543,-0.074332745,-0.025523604,0.074332659
21.76088044,-0.120788258,-0.034828781,0.120788183
21.81090545,-0.097587559,-0.022922148,0.097587447
21.86093047,-0.114368793,-0.020892091,0.114368703
21.91095548,-0.098245381,-0.012909878,0.098245313
21.96098049,-0.099103012,-0.008008121,0.099102921
22.0110055,-0.103926565,-0.003181753,0.103926523
22.06103052,-0.107318407,0.002084296,0.107318318
22.11105553,-0.088092083,0.006127335,0.088092033
22.16108054,-0.096358514,0.011566958,0.096358499
22.21110555,-0.102466521,0.017535728,0.102466451
22.26113057,-0.07942297,0.017720429,0.079422955
22.31115558,-0.109854084,0.030349117,0.109854034
22.36118059,-0.105952398,0.035060861,0.10595236
22.4112056,-0.074298092,0.028782821,0.074298106
22.46123062,-0.084031247,0.037487687,0.084031214
22.51125563,-0.090902198,0.046134554,0.090902203
22.56128064,-0.09493492,0.054314445,0.094934924
22.61130565,-0.097913128,0.062717033,0.09791312
22.66133067,-0.076887752,0.054858303,0.07688779
22.71135568,-0.097581476,0.07726876,0.097581477
22.76138069,-0.075488723,0.066177963,0.075488751
22.8114057,-0.070814771,0.068638624,0.070814824
22.86143072,-0.072703521,0.077889192,0.072703546
22.91145573,-0.067085131,0.079492618,0.067085195
22.96148074,-0.062684507,0.08229904,0.062684548
23.01150575,-0.068422518,0.099819686,0.068422583
23.06153077,-0.054111063,0.088084027,0.054111154
23.11155578,-0.043672649,0.079780713,0.043672699
23.16158079,-0.040263882,0.083176991,0.040263958
23.2116058,-0.045155739,0.106565183,0.045155829
23.26163082,-0.037036139,0.101216923,0.037036224
23.31165583,-0.025233784,0.0813574,0.025233872
23.36168084,-0.021010923,0.082036833,0.021010995
23.41170585,-0.020161778,0.099104183,0.020161879
23.46173087,-0.016076542,0.105887252,0.016076656
23.51175588,-0.009449393,0.093565306,0.00944949
23.56178089,-0.004247328,0.083824158,0.004247424
23.6118059,-5.38E-05,0.089530588,5.39E-05
23.66183092,0.005804151,0.117340634,-0.005804013
23.71185593,0.010513788,0.105371798,-0.010513661
23.76188094,0.016525491,0.109733125,-0.016525354
23.81190595,0.022321629,0.110400164,-0.02232149
23.86193097,0.023352443,0.091637568,-0.023352323
23.91195598,0.028658559,0.092793584,-0.028658432
23.96198099,0.033971183,0.093187729,-0.033971063
24.012006,0.040883241,0.096806203,-0.040883097
24.06203102,0.048622842,0.100753676,-0.048622698
24.11205603,0.057371996,0.105106439,-0.057371845
24.16208104,0.056992926,0.093025899,-0.056992775
24.21210605,0.06161478,0.090120303,-0.061614652
24.26213107,0.072788173,0.095803068,-0.072788005
24.31215608,0.063638016,0.075592244,-0.063637888
24.36218109,0.076922235,0.082607799,-0.076922116
24.4122061,0.07653794,0.0743647,-0.07653779
24.46223112,0.08043861,0.070688654,-0.080438492
24.51225613,0.077318675,0.061375386,-0.077318547
24.56228114,0.070611353,0.050508496,-0.070611244
24.61230615,0.087810438,0.056394997,-0.087810349
24.66233117,0.090557752,0.051954895,-0.090557614
24.71235618,0.084730557,0.043130627,-0.084730461
24.76238119,0.09118921,0.04081261,-0.091189108
24.8124062,0.085733439,0.033331543,-0.085733332
24.86243122,0.087374108,0.0290298,-0.087374045
24.91245623,0.092531259,0.025683279,-0.09253115
24.96248124,0.08535773,0.01915243,-0.085357654
25.01250625,0.093614695,0.01613685,-0.09361464
25.06253127,0.107295803,0.013010891,-0.107295697
25.11255628,0.115282767,0.00815804,-0.115282709
25.16258129,0.121792946,0.002512056,-0.121792846
25.2126063,0.096803051,-0.002847053,-0.096802986
25.26263132,0.112632154,-0.00896493,-0.112632138
25.31265633,0.103400404,-0.013460698,-0.103400328
25.36268134,0.096905058,-0.017581448,-0.096905029
25.41270635,0.102187459,-0.023872881,-0.102187417
25.46273137,0.107652739,-0.030900933,-0.107652689
25.51275638,0.090696368,-0.031020411,-0.090696376
25.56278139,0.088816063,-0.035430755,-0.088816024
25.6128064,0.087956254,-0.040296275,-0.087956248
25.66283142,0.083889169,-0.043633901,-0.08388918
25.71285643,0.097496325,-0.057079258,-0.097496306
25.76288144,0.077954421,-0.051037361,-0.077954451
25.81290645,0.076741702,-0.055918558,-0.076741701
25.86293147,0.080901661,-0.065385615,-0.08090168
25.91295648,0.076922776,-0.068805288,-0.07692284
25.96298149,0.068793769,-0.068024782,-0.068793785
26.0130065,0.079562129,-0.086961405,-0.079562191
26.06303152,0.060235772,-0.072839509,-0.06023581
26.11305653,0.059290247,-0.079476336,-0.059290292
26.16308154,0.045374479,-0.067633602,-0.045374546
26.21310655,0.0503598,-0.083842915,-0.050359848
26.26313157,0.04126343,-0.077199472,-0.041263496
26.31315658,0.039102174,-0.082876749,-0.039102247
26.36318159,0.03091388,-0.075031547,-0.030913939
26.4132066,0.03070875,-0.086593867,-0.03070884
26.46323162,0.02870445,-0.095921439,-0.028704533
26.51325663,0.023465291,-0.095579875,-0.023465385
26.56328164,0.018330316,-0.094943934,-0.018330422
26.61330665,0.013686926,-0.096639401,-0.013687022
26.66333167,0.008672937,-0.095393633,-0.008673044
26.71335668,0.00408482,-0.100449397,-0.00408493
26.76338169,-0.00093602,-0.099765136,0.000935906
26.8134067,-0.006154241,-0.103472699,0.006154118
26.86343172,-0.010796231,-0.098262859,0.010796112
26.91345673,-0.015323537,-0.095282374,0.015323418
26.96348174,-0.022611245,-0.106355321,0.02261111
27.01350675,-0.027447247,-0.103381903,0.027447108
